"StreetType","Abbrev","Abbrev2"
"Alley","ALY","Aly"
"Allée","ALY","Aly"
"Annex","ANX","Anx"
"Anex","ANX","Anx"
"Arcade","ARC","Arc"
"Avenue","AVE","Ave"
"Bayou","BYU","Byu"
"Beach","BCH","Bch"
"Bend","BND","Bnd"
"Bluff","BLF","Blf"
"Bluffs","BLFS","Blfs"
"Bottom","BTM","Btm"
"Boulevard","BLVD","Blvd"
"Branch","BR","Br"
"Bridge","BRG","Brg"
"Brook","BRK","Brk"
"Brooks","BRKS","Brks"
"Burg","BG","Bg"
"Burgs","BGS","Bgs"
"By-pass","BYP","Byp"
"Bypass","BYP","Byp"
"Camp","CP","Cp"
"Canyon","CYN","Cyn"
"Cape","CPE","Cpe"
"Causeway","CSWY","Cswy"
"Centre","CTR","Ctr"
"Centres","CTRS","Ctrs"
"Circle","CIR","Cir"
"Circles","CIRS","Cirs"
"Cliffs","CLF","Clf"
"Cliff","CLFS","Clfs"
"Club","CLB","Clb"
"Common","CMN","Cmn"
"Commons","CMNS","Cmns"
"Corners","COR","Cor"
"Corner","CORS","Cors"
"Course","CRSE","Crse"
"Court","CT","Ct"
"Courts","CTS","Cts"
"Cove","CV","Cv"
"Coves","CVS","Cvs"
"Creek","CRK","Crk"
"Crescent","CRES","Cres"
"Crest","CRST","Crst"
"Crossing","XING","Xing"
"Crossroads","XRD","Xrd"
"Crossroad","XRDS","Xrds"
"Curve","CURV","Curv"
"Dale","DL","Dl"
"Dam","DM","Dm"
"Divide","DV","Dv"
"Drive","DR","Dr"
"Estates","ESTS","Ests"
"Estate","EST","Est"
"Expressway","EXPY","Expy"
"Extension","EXT","Ext"
"Extensions","EXTS","Exts"
"Fall","FALL","Fall"
"Falls","FLS","Fls"
"Ferry","FRY","Fry"
"Field","FLD","Fld"
"Fields","FLDS","Flds"
"Flat","FLT of FLTS","Flt of flts"
"Flats","FLT of FLTS","Flt of flts"
"Ford","FRD","Frd"
"Fords","FRDS","Frds"
"Forest","FRST","Frst"
"Forge","FRG","Frg"
"Forges","FRGS","Frgs"
